job_id,hinh_thuc
35BB89ED,Nhân viên chính thức
35BB89F2,Nhân viên chính thức
35BB8A3A,Thực tập
35BB89E2,Nhân viên chính thức
35BB89F5,Nhân viên chính thức
35BB89F6,Nhân viên chính thức
35BB89F3,Nhân viên chính thức
35BB89FA,Nhân viên chính thức
35BB8842,Nhân viên chính thức
35BB89F0,Unknown
35BB89FB,Nhân viên chính thức
35BB89FC,Nhân viên chính thức
35BB89B0,Nhân viên chính thức
35BB89B1,Nhân viên chính thức
35BB84E7,Nhân viên chính thức
35BB89AF,Nhân viên chính thức
35BB89AE,Nhân viên chính thức
35BB89B5,Nhân viên chính thức
35BB89B3,Nhân viên chính thức
35BB89B9,Nhân viên chính thức
35BB89B7,Nhân viên chính thức
35BB89BB,Nhân viên chính thức
35BB89BE,Nhân viên chính thức
35BB89BD,Nhân viên chính thức
35BB89B8,Nhân viên chính thức
35BB89C1,Nhân viên chính thức
35BB89BA,Unknown
35BB8998,Nhân viên chính thức
35BB898D,Nhân viên chính thức
35BB8990,Nhân viên chính thức
35BB898F,Nhân viên chính thức
35BB898E,Nhân viên chính thức
35BB8999,Nhân viên chính thức
35BB899A,Nhân viên chính thức
35BB8996,Nhân viên chính thức
35BB899D,Nhân viên chính thức
35BB89A9,Nhân viên chính thức
35BB899B,Nhân viên chính thức
35BB89AA,Nhân viên chính thức
35BB8982,Nhân viên chính thức
35BB894C,Nhân viên chính thức
35BB8950,Unknown
35BB8970,Nhân viên chính thức
35BB896A,Nhân viên chính thức
35BB871D,Nhân viên chính thức
35BB8953,Nhân viên chính thức
35BB8952,Nhân viên chính thức
35BB8860,Unknown
35BB8955,Nhân viên chính thức
35BB8854,Unknown
35BB8951,Nhân viên chính thức
35BB884B,Unknown
35BB8959,Nhân viên chính thức
35BB890B,Nhân viên chính thức
35BB8832,Nhân viên chính thức
35BB8910,Nhân viên chính thức
35BB890D,Nhân viên chính thức
35BB890E,Nhân viên chính thức
35BB8957,Nhân viên chính thức
35BB8912,Nhân viên chính thức
35BB8913,Nhân viên chính thức
35BB8914,Nhân viên chính thức
35BB890F,Nhân viên chính thức
35BB8919,Nhân viên chính thức
35BB8917,Nhân viên chính thức
35BB891B,Nhân viên chính thức
35BB8915,Nhân viên chính thức
35BB891C,Nhân viên chính thức
35BB891D,Nhân viên chính thức
35BB891A,Nhân viên chính thức
35BB891F,Nhân viên chính thức
35BB88D3,Nhân viên chính thức
35BB88CD,Nhân viên chính thức
35BB8920,Unknown
35BB88D0,Nhân viên chính thức
35BB88D4,Nhân viên chính thức
35BB8888,Nhân viên chính thức
35BB88D7,Nhân viên chính thức
35BB88D5,Unknown
35BB88E0,Nhân viên chính thức
35BB88DC,Nhân viên chính thức
35BB88D8,Nhân viên chính thức
35BB88DB,Nhân viên chính thức
35BB88DE,Nhân viên chính thức
35BB88E2,Nhân viên chính thức
35BB88E1,Nhân viên chính thức
35BB888E,Nhân viên chính thức
35BB8894,Nhân viên chính thức
35BB8896,Nhân viên chính thức
35BB8890,Nhân viên chính thức
35BB8897,Nhân viên chính thức
35BB8898,Nhân viên chính thức
35BB889D,Nhân viên chính thức
35BB889A,Nhân viên chính thức
35BB88A0,Nhân viên chính thức
35BB8895,Nhân viên chính thức
35BB88A5,Nhân viên chính thức
35BB889E,Nhân viên chính thức
35BB88A4,Nhân viên chính thức
35BB889B,Nhân viên chính thức
35BB8853,Nhân viên chính thức
35BB88A3,Nhân viên chính thức
35BB885C,Nhân viên chính thức
35BB8852,Nhân viên chính thức
35BB8857,Unknown
35BB885D,Nhân viên chính thức
35BB884F,Nhân viên chính thức
35BB8848,Nhân viên chính thức
35BB8858,Nhân viên chính thức
35BB885E,Nhân viên chính thức
35BB885A,Nhân viên chính thức
35BB885B,Nhân viên chính thức
35BB8861,Nhân viên chính thức
35BB8862,Nhân viên chính thức
35BB8863,Nhân viên chính thức
35BB8856,Nhân viên chính thức
35BB87CF,Nhân viên chính thức
35BB8814,Nhân viên chính thức
35BB8812,Nhân viên chính thức
35BB8816,Unknown
35BB881D,Nhân viên chính thức
35BB8815,Unknown
35BB881B,Nhân viên chính thức
35BB881E,Nhân viên chính thức
35BB880B,Nhân viên chính thức
35BB8820,Nhân viên chính thức
