job_id,detailed_welfare
35BB8C26,Chế độ bảo hiểm
35BB8C26,Du Lịch
35BB8C26,Chế độ thưởng
35BB8C26,Chăm sóc sức khỏe
35BB8C26,Đào tạo
35BB8C26,Tăng lương
35BB8C1A,Laptop
35BB8C1A,Chế độ bảo hiểm
35BB8C1A,Du Lịch
35BB8C1A,Phụ cấp
35BB8C1A,Du lịch nước ngoài
35BB8C1A,Đồng phục
35BB8C1A,Chế độ thưởng
35BB8C1A,Chăm sóc sức khỏe
35BB8C1A,Đào tạo
35BB8C1A,Tăng lương
35BB8C1A,Công tác phí
35BB8C1A,Nghỉ phép năm
35BB8C1A,CLB thể thao
35BB8C17,Chế độ bảo hiểm
35BB8C17,Du Lịch
35BB8C17,Chế độ thưởng
35BB8C17,Chăm sóc sức khỏe
35BB8C17,Đào tạo
35BB8C17,Tăng lương
35BB8C1B,Laptop
35BB8C1B,Chế độ bảo hiểm
35BB8C1B,Du Lịch
35BB8C1B,Phụ cấp
35BB8C1B,Du lịch nước ngoài
35BB8C1B,Đồng phục
35BB8C1B,Chế độ thưởng
35BB8C1B,Chăm sóc sức khỏe
35BB8C1B,Đào tạo
35BB8C1B,Tăng lương
35BB8C1B,Công tác phí
35BB8C1B,Nghỉ phép năm
35BB8C1B,CLB thể thao
35BB8C21,Laptop
35BB8C21,Chế độ bảo hiểm
35BB8C21,Du Lịch
35BB8C21,Phụ cấp
35BB8C21,Du lịch nước ngoài
35BB8C21,Đồng phục
35BB8C21,Chế độ thưởng
35BB8C21,Chăm sóc sức khỏe
35BB8C21,Đào tạo
35BB8C21,Tăng lương
35BB8C21,Công tác phí
35BB8C21,Nghỉ phép năm
35BB8C21,CLB thể thao
35BB8C1D,Laptop
35BB8C1D,Chế độ bảo hiểm
35BB8C1D,Du Lịch
35BB8C1D,Phụ cấp
35BB8C1D,Du lịch nước ngoài
35BB8C1D,Đồng phục
35BB8C1D,Chế độ thưởng
35BB8C1D,Chăm sóc sức khỏe
35BB8C1D,Đào tạo
35BB8C1D,Tăng lương
35BB8C1D,Công tác phí
35BB8C1D,Nghỉ phép năm
35BB8C1D,CLB thể thao
35BB8C1F,Chế độ bảo hiểm
35BB8C1F,Chế độ thưởng
35BB8C1F,Chăm sóc sức khỏe
35BB8C1F,Đào tạo
35BB8C1F,Tăng lương
35BB8C20,Laptop
35BB8C20,Chế độ bảo hiểm
35BB8C20,Du Lịch
35BB8C20,Đồng phục
35BB8C20,Chế độ thưởng
35BB8C20,Chăm sóc sức khỏe
35BB8C20,Đào tạo
35BB8C20,Tăng lương
35BB8C20,Nghỉ phép năm
35BB8C22,Laptop
35BB8C22,Chế độ bảo hiểm
35BB8C22,Du Lịch
35BB8C22,Du lịch nước ngoài
35BB8C22,Chế độ thưởng
35BB8C22,Chăm sóc sức khỏe
35BB8C22,Đào tạo
35BB8C22,Tăng lương
35BB8C22,Công tác phí
35BB8C22,Nghỉ phép năm
35BB8C22,CLB thể thao
35BB8C1C,Chế độ bảo hiểm
35BB8C1C,Du Lịch
35BB8C1C,Chế độ thưởng
35BB8C1C,Chăm sóc sức khỏe
35BB8C1C,Đào tạo
35BB8C1C,Tăng lương
35BB8C24,Laptop
35BB8C24,Chế độ bảo hiểm
35BB8C24,Du Lịch
35BB8C24,Phụ cấp
35BB8C24,Du lịch nước ngoài
35BB8C24,Đồng phục
35BB8C24,Chế độ thưởng
35BB8C24,Chăm sóc sức khỏe
35BB8C24,Đào tạo
35BB8C24,Tăng lương
35BB8C24,Công tác phí
35BB8C24,Nghỉ phép năm
35BB8C24,CLB thể thao
35BB8C25,Chế độ bảo hiểm
35BB8C25,Du Lịch
35BB8C25,Phụ cấp
35BB8C25,Đồng phục
35BB8C25,Chế độ thưởng
35BB8C25,Chăm sóc sức khỏe
35BB8C25,Đào tạo
35BB8C25,Tăng lương
35BB8C25,Phụ cấp thâm niên
35BB8C25,Nghỉ phép năm
35BB63C0,Chế độ bảo hiểm
35BB63C0,Du Lịch
35BB63C0,Phụ cấp
35BB63C0,Đồng phục
35BB63C0,Chế độ thưởng
35BB63C0,Chăm sóc sức khỏe
35BB63C0,Đào tạo
35BB63C0,Tăng lương
35BB63C0,Nghỉ phép năm
35BB8C23,Laptop
35BB8C23,Chế độ bảo hiểm
35BB8C23,Du Lịch
35BB8C23,Du lịch nước ngoài
35BB8C23,Đồng phục
35BB8C23,Chế độ thưởng
35BB8C23,Đào tạo
35BB8C23,Tăng lương
35BB8C23,Công tác phí
35BB8C23,Nghỉ phép năm
35BB8C23,CLB thể thao
35BB8C0B,Chế độ bảo hiểm
35BB8C0B,Du Lịch
35BB8C0B,Phụ cấp
35BB8C0B,Chế độ thưởng
35BB8C0B,Đào tạo
35BB8C0B,Tăng lương
35BB8B11,Chế độ bảo hiểm
35BB8B11,Du Lịch
35BB8B11,Phụ cấp
35BB8B11,Đồng phục
35BB8B11,Chế độ thưởng
35BB8B11,Đào tạo
35BB8B11,Tăng lương
35BB8B11,Nghỉ phép năm
35BB8C12,Chế độ bảo hiểm
35BB8C12,Du Lịch
35BB8C12,Chế độ thưởng
35BB8C12,Chăm sóc sức khỏe
35BB8C12,Đào tạo
35BB8C12,Tăng lương
35BB8C12,Nghỉ phép năm
35BB8C15,Laptop
35BB8C15,Chế độ bảo hiểm
35BB8C15,Du Lịch
35BB8C15,Phụ cấp
35BB8C15,Đồng phục
35BB8C15,Chế độ thưởng
35BB8C15,Chăm sóc sức khỏe
35BB8C15,Đào tạo
35BB8C15,Tăng lương
35BB8C15,Công tác phí
35BB8C15,Phụ cấp thâm niên
35BB8C15,Nghỉ phép năm
35BB8C14,Laptop
35BB8C14,Chế độ bảo hiểm
35BB8C14,Du Lịch
35BB8C14,Phụ cấp
35BB8C14,Đồng phục
35BB8C14,Chế độ thưởng
35BB8C14,Chăm sóc sức khỏe
35BB8C14,Đào tạo
35BB8C14,Tăng lương
35BB8C14,Công tác phí
35BB8C14,Phụ cấp thâm niên
35BB8C14,Nghỉ phép năm
35BB8C16,Laptop
35BB8C16,Chế độ bảo hiểm
35BB8C16,Du Lịch
35BB8C16,Phụ cấp
35BB8C16,Đồng phục
35BB8C16,Chế độ thưởng
35BB8C16,Chăm sóc sức khỏe
35BB8C16,Đào tạo
35BB8C16,Tăng lương
