job_id,job_tags
35BB8BA3,Thư ký HĐQT kiêm Thư ký giám đốc
35BB8BA3,Associate Research Director
35BB8BA3,Assistant Training Manager
35BB8BA3,Assistant Store Manager
35BB8BA3,Assistant Marketing Manager
35BB8BA3,Assistant Key Account Manager
35BB8BA3,Assistant Customer Marketing Manager
35BB8BA3,Trợ lý giám sát bán hàng
35BB8BA3,Trợ lý trưởng phòng kinh doanh
35BB8BA3,Trợ lý nghiệp vụ
35BB8BC1,[ Cầu Giấy Hà Nội ] - Financial Advisory Assistant manager  - Up to  -
35BB8BC1,Trợ lý giám đốc
35BB8BC1,Assistant Director
35BB8B90,Kỹ thuật viên
35BB8B90,Technician
35BB8B5F,SOP
35BB8BC2,WAREHOUSE MANAGER BINH DINH
35BB8BC2,Quản lý kho
35BB8BC2,Trưởng nhóm kho hàng
35BB8BC7,Xuất nhập khẩu
35BB8BC7,Logistic
35BB8BC0,Kế toán tổng hợp trong lĩnh vực xuất nhập khẩu
35BB8BC0,Kế toán quản trị nội bộ
35BB8BC0,Management Accountant
35BB8BC0,kiêm kế toán tổng hợp
35BB8BC0,Management Accounting Manager
35BB8BC3,Kỹ thuật viên Công nghệ
35BB8BC3,Chuyên viên Công nghệ
35BB8BC3,kỹ thuật
35BB8BC3,công nghệ thực phẩm
35BB8BC3,hóa
35BB8BC3,Chuyên viên Công nghệ Làm việc tại Lào
35BB8BC9,Hành chính nhân sự
35BB8BC9,Thư ký
35BB8BC4,Kỹ sư cơ khí
35BB8BC4,Mechanical Engineer
35BB8BC4,Kỹ sư cơ giới
35BB8BC4,chế tạo máy
35BB8BC4,Chuyên viên cơ khí
35BB8BC4,Kỹ thuật cơ khí
35BB8BC4,I&C Supervisor
35BB8BC8,Giám đốc
35BB8BC8,Giám đốc Kinh Doanh
35BB8BC8,Giám đốc chi nhánh
35BB8BC8,Bến Lức
35BB8BC8,Branch manager
35BB8BC8,Giám Đốc Chi Nhánh - Bến Lức - TA
35BB8BC6,Nhân viên Marketing
35BB8BC6,Marketing Executive
35BB8BC6,Marketer
35BB8BC5,Branch Director Garment
35BB8BC5,Giám đốc
35BB8BC5,Sales Manager
35BB8BCB,Nhân viên kỹ thuật cơ giới nông nghiệp Làm việc tại Campuchia
35BB8BCB,Nông nghiệp
35BB8BCB,Khuyến nông
35BB8BCA,Nhân viên canh tác nông nghiệp Farmacist Làm việc tại Campuchia
35BB8BCA,Khuyến nông
35BB8BCA,Nông nghiệp
35BB8BCA,Bảo vệ thực vật
35BB8BCC,Trưởng Phòng Nhân Sự - Human Resource Manager Làm việc tại Campuchia
35BB8BCC,Recruitment
35BB8BCC,Talent Acquisition
35BB8BCC,Tuyển dụng
35BB8BCD,Trưởng bộ phận mua hàng Làm việc tại Campuchia
35BB8BCD,Xuất nhập khẩu
35BB8BCD,Logistic
35BB8BCD,Kho vận
35BB8BCD,Vận chuyển
35BB8B82,Thủ kho
35BB8B82,Nhân viên bán hàng qua điện thoại
35BB8B82,Nhân viên kế toán
35BB8B82,Kế toán viên
35BB8B82,Nhân viên bán hàng tại showroom
35BB8B82,Nhân viên bán hàng thu ngân
35BB8B82,Nhân viên bán hàng tại siêu thị
35BB8B82,Nhân viên bán hàng trực tiếp
35BB8BCF,Trưởng phòng Kho vận Làm việc tại Campuchia
35BB8BCF,Vận chuyển
35BB8BCF,Logistic
35BB8BCF,Xuất nhập khẩu
35BB8BCF,Quản lý điều hành
35BB8BCF,Trưởng phòng Kho vận Làm việc tại Campuchia/Lào
35BB8B88,Chuyên viên lao động tiền lương
35BB8B88,HR cum Payroll Executive
35BB8B88,HR cum Payroll officer
35BB8B88,HR cum Payroll Assistant
35BB8B88,HR Staff
35BB8B88,Nhân viên phòng nhân sự
35BB8B88,Cán bộ nhân sự
35BB8B88,Nhân viên hành chánh nhân sự
35BB8B88,Chuyên viên nhân sự
35BB8B88,Phụ trách nhân sự
35BB8376,Chuyên viên phụ trách xuất nhập khẩu
35BB8376,Nhân viên giao nhận nhà máy
35BB8376,Delivery DepartmentImport and Export Assistant
35BB8376,Nhân viên giao nhận quốc tế quốc nội
35BB8376,Air Craft Service Staff
35BB8376,Import Export Warehouse Staff
35BB8376,Trợ lý hậu cần
35BB8376,Nhân viên hiện trường giao nhận XNK
35BB8376,Nhân viên giao nhận hàng tại cảng
35BB8376,Nhân viên giao nhận
35BB8376,Nhân Viên Điều Vận Hàng Hóa
35BB8B86,Unknown
35BB8B89,hcns
35BB8B89,Chuyên viên nhân sự
35BB8B89,nhân sự
35BB8B8C,Kỹ thuật viên
35BB8B8C,Technician
35BB8B8C,bảo trì
35BB8B8C,cnc
35BB8B8F,Unknown
35BB8B8A,Executive
35BB8B8A,specialist
35BB8B8A,manager
35BB8B32,Unknown
35BB8B95,Unknown
35BB8B96,Trưởng Nhóm Kiểm Soát Tài Chính Báo Cáo Quản Trị & Lập Kế Hoạch
35BB8B96,Finance Controller
35BB8B96,Financial Controller
35BB8B96,Chuyên viên hoạch định tài chính
35BB8B96,Production Finance controller
35BB8B96,Finance Controller Production & Supply
35BB8B96,Supply Financial Controller
35BB664B,developer
35BB8B94,Sales Supervisor
35BB8B94,Sales Executive
35BB8B8E,Unknown
35BB8B87,kiểm soát nội bộ
35BB8B87,Internal Audit
35BB8B87,Kiểm toán nội bộ
35BB8B4B,Unknown
35BB8B92,Giám Đốc Kinh Doanh Công Nghiệp BB Sale Manager
35BB8B92,Sales Director
35BB8B4C,NHÂN VIÊN KỸ THUẬT CƠ ĐIỆN [LƯƠNG TỪ TR + PHỤ CẤP]
35BB8B4C,Kỹ thuật viên
35BB8B4C,Technician
35BB8B4A,Unknown
35BB8B45,Đại diện kinh doanh
35BB8B45,Nhân viên phòng kinh doanh
35BB8B45,Nhân viên bán hàng
35BB8B45,Đại diện bán hàng
35BB8B45,Telesales
35BB8B45,Salesman
35BB8B45,Sales Engineer
35BB8B45,Sales Executive
35BB8B45,Chuyên Viên Kinh Doanh
35BB8B45,Sales Dept
35BB8B4E,Đại diện kinh doanh
35BB8B4E,Nhân viên phòng kinh doanh
35BB8B4E,Nhân viên bán hàng
35BB8B4E,Đại diện bán hàng
35BB8B4E,Telesales
35BB8B4E,Salesman
35BB8B4E,Sales Engineer
35BB8B4E,Sales Executive
35BB8B4E,Chuyên Viên Kinh Doanh
35BB8B4E,Sales Dept
35BB8B4E,phát triển thị trường
35BB8B4E,nhân viên kinh doanh
35BB8B4E,sales
35BB8B4E,thị trường
