job_id,outstanding_welfare
35BB8B8F,Chế độ bảo hiểm
35BB8B8F,Du Lịch
35BB8B8F,Phụ cấp
35BB8B8A,Laptop
35BB8B8A,Chế độ bảo hiểm
35BB8B8A,Phụ cấp
35BB8B32,Đào tạo
35BB8B95,Chế độ bảo hiểm
35BB8B95,Du Lịch
35BB8B95,Chế độ thưởng
35BB8B96,Laptop
35BB8B96,Chế độ bảo hiểm
35BB8B96,Du Lịch
35BB664B,Chế độ bảo hiểm
35BB664B,Du Lịch
35BB664B,Chế độ thưởng
35BB8B94,Laptop
35BB8B94,Chế độ bảo hiểm
35BB8B94,Du Lịch
35BB8B8E,Laptop
35BB8B8E,Chế độ bảo hiểm
35BB8B8E,Du Lịch
35BB8B87,Laptop
35BB8B87,Chế độ bảo hiểm
35BB8B87,Du Lịch
35BB8B4B,Chế độ bảo hiểm
35BB8B4B,Phụ cấp
35BB8B4B,Xe đưa đón
35BB8B92,Laptop
35BB8B92,Chế độ bảo hiểm
35BB8B92,Du Lịch
35BB8B4C,Laptop
35BB8B4C,Chế độ bảo hiểm
35BB8B4C,Du Lịch
35BB8B4A,Chế độ bảo hiểm
35BB8B4A,Chế độ thưởng
35BB8B4A,Đào tạo
35BB8B45,Chế độ bảo hiểm
35BB8B45,Du Lịch
35BB8B45,Phụ cấp
35BB8B4E,Chế độ bảo hiểm
35BB8B4E,Du Lịch
35BB8B4E,Phụ cấp
35BB8B4D,Unknown
35BB8B4F,Chế độ bảo hiểm
35BB8B4F,Du Lịch
35BB8B4F,Phụ cấp
35BB8B33,Chế độ bảo hiểm
35BB8B33,Du Lịch
35BB8B33,Đào tạo
35BB8B54,Chế độ bảo hiểm
35BB8B54,Du Lịch
35BB8B54,Phụ cấp
35BB8B52,Laptop
35BB8B52,Chế độ bảo hiểm
35BB8B52,Du Lịch
35BB8B53,Laptop
35BB8B53,Chế độ bảo hiểm
35BB8B53,Du Lịch
35BB8B5B,Laptop
35BB8B5B,Chế độ bảo hiểm
35BB8B5B,Du Lịch
35BB8B59,Laptop
35BB8B59,Chế độ bảo hiểm
35BB8B59,Du Lịch
35BB8B5C,Chế độ bảo hiểm
35BB8B5C,Du Lịch
35BB8B5C,Chế độ thưởng
35BB8B5D,Laptop
35BB8B5D,Chế độ bảo hiểm
35BB8B5D,Du Lịch
35BB8AF2,Laptop
35BB8AF2,Chế độ bảo hiểm
35BB8AF2,Du Lịch
35BB8B60,Chế độ bảo hiểm
35BB8B60,Phụ cấp
35BB8B60,Xe đưa đón
35BB8B0E,Chế độ bảo hiểm
35BB8B0E,Du Lịch
35BB8B0E,Du lịch nước ngoài
35BB8B56,Laptop
35BB8B56,Chế độ bảo hiểm
35BB8B56,Du Lịch
35BB8B0C,Chế độ bảo hiểm
35BB8B0C,Du Lịch
35BB8B0C,Phụ cấp
35BB20C4,Chế độ bảo hiểm
35BB20C4,Du Lịch
35BB20C4,Đồng phục
35BB8B14,Chế độ bảo hiểm
35BB8B14,Du Lịch
35BB8B14,Phụ cấp
35BB8B12,Chế độ bảo hiểm
35BB8B12,Du Lịch
35BB8B12,Chế độ thưởng
35BB8B13,Laptop
35BB8B13,Chế độ bảo hiểm
35BB8B13,Phụ cấp
35BB8A49,Chế độ bảo hiểm
35BB8A49,Du Lịch
35BB8A49,Đồng phục
35BB8B18,Laptop
35BB8B18,Chế độ bảo hiểm
35BB8B18,Du Lịch
35BB8B17,Chế độ bảo hiểm
35BB8B17,Du Lịch
35BB8B17,Phụ cấp
35BB8B0F,Chế độ bảo hiểm
35BB8B0F,Du Lịch
35BB8B0F,Phụ cấp
35BB8B21,Chế độ bảo hiểm
35BB8B21,Du Lịch
35BB8B21,Phụ cấp
35BB8B1E,Chế độ bảo hiểm
35BB8B1E,Du Lịch
35BB8B1E,Phụ cấp
35BB8B1A,Chế độ bảo hiểm
35BB8B1A,Du Lịch
35BB8B1A,Chế độ thưởng
35BB8B1C,Chế độ bảo hiểm
35BB8B1C,Du Lịch
35BB8B1C,Đồng phục
35BB89A7,Chế độ bảo hiểm
35BB89A7,Du Lịch
35BB89A7,Chế độ thưởng
35BB8AE4,Chế độ bảo hiểm
35BB8AE4,Du Lịch
35BB8AE4,Chế độ thưởng
35BB8AE7,Chế độ bảo hiểm
35BB8AE7,Du Lịch
35BB8AE7,Chế độ thưởng
35BB89A1,Chế độ bảo hiểm
35BB89A1,Du Lịch
35BB89A1,Chế độ thưởng
35BB89A2,Chế độ bảo hiểm
35BB89A2,Du Lịch
35BB89A2,Chế độ thưởng
35BB89A6,Chế độ bảo hiểm
35BB89A6,Du Lịch
35BB89A6,Chế độ thưởng
35BB89A0,Chế độ bảo hiểm
35BB89A0,Du Lịch
35BB89A0,Chế độ thưởng
35BB8ADE,Phụ cấp
35BB8ADE,Đào tạo
35BB8AD0,Chế độ bảo hiểm
35BB8AD0,Phụ cấp
35BB8AD0,Đồng phục
35BB8AE6,Laptop
35BB8AE6,Chế độ bảo hiểm
35BB8AE6,Du Lịch
35BB8AE2,Laptop
35BB8AE2,Chế độ bảo hiểm
35BB8AE2,Phụ cấp
35BB8A30,Laptop
35BB8A30,Chế độ bảo hiểm
35BB8A30,Du Lịch
35BB8A37,Chế độ bảo hiểm
35BB8A37,Du Lịch
35BB8A37,Chế độ thưởng
35BB8AA1,Chế độ bảo hiểm
35BB8AA1,Du Lịch
35BB8AA1,Chế độ thưởng
35BB8A9E,Chế độ bảo hiểm
35BB8A9E,Du Lịch
35BB8A9E,Phụ cấp
35BB8A9F,Chế độ bảo hiểm
35BB8A9F,Du Lịch
35BB8A9F,Chế độ thưởng
35BB8A91,Laptop
35BB8A91,Chế độ bảo hiểm
35BB8A91,Du Lịch
35BB8AA3,Chế độ bảo hiểm
35BB8AA3,Du Lịch
35BB8AA3,Chế độ thưởng
35BB8AA8,Chế độ bảo hiểm
35BB8AA8,Du Lịch
35BB8AA8,Phụ cấp
35BB8AA5,Chế độ bảo hiểm
35BB8AA5,Du Lịch
35BB8AA5,Đồng phục
35BB8AA9,Chế độ bảo hiểm
35BB8AA9,Du Lịch
35BB8AA9,Phụ cấp
35BB853F,Laptop
35BB853F,Chế độ bảo hiểm
35BB853F,Du Lịch
35BB8AA2,Chế độ bảo hiểm
35BB8AA2,Du Lịch
35BB8AA2,Chế độ thưởng
