job_id,job_tags
35BB8694,Associate
35BB8694,Hội viên
35BB8695,Unknown
35BB869C,Sales Director
35BB86A1,CHUYÊN VIÊN/ CHUYÊN VIÊN CHÍNH QUẢN LÝ CHẤT LƯỢNG DỮ LIỆU
35BB86A1,CHUYÊN VIÊN/ CHUYÊN VIÊN CHÍNH QUẢN LÝ CHẤT LƯỢNG DỮ LIỆU Data Quality Management
35BB86A1,Data Quality Management
35BB869D,Unknown
35BB869E,< Trưởng Nhóm Quản Lý Thu Hồi Nợ Nội Bảng Bên Thứ Ba
35BB869E,Trưởng Nhóm Quản Lý Thu Hồi Nợ Nội Bảng Bên Thứ Ba
35BB869F,Kiểm soát viên
35BB869F,Kế toán ngân hàng
35BB869F,dịch vụ khách hàng
35BB869F,Bank supervisor
35BB869F,Bank Accountant
35BB869F,Giám sát giao dịch
35BB869F,Giám sát giao dịch kiểm soát viên
35BB869F,Kiểm soát viên - Miền Tây
35BB8687,Purchasing
35BB8687,Nhân viên mua hàng  Staff
35BB8687,Associates  Accountant
35BB8687,Staff/ Executive/ Supervisor/ Manager
35BB8687,purchasing staff
35BB8687,Executive
35BB8687,specialist
35BB8687,Coordinator
35BB8687,Supervisor
35BB8687,officier
35BB866C,Chuyên Viên Cao Cấp Tuyển Dụng Nhân Sự Khối BO
35BB866C,Human Resources Services Officer
35BB866C,Chuyên viên nhân sự tuyển dụng và đào tạo
35BB866C,Chuyên viên tuyển dụng phòng nhân sự
35BB866C,HeadHunter
35BB866C,Chuyên viên dịch vụ nhân sự phụ trách tuyển dụng
35BB866C,Training and Recruitment Officer
35BB866C,Nhân viên tuyển dụng đào tạo
35BB866C,Chuyên viên tuyển dụng
35BB866C,Nhân viên tuyển dụng
35BB869B,Unknown
35BB865C,Purchasing
35BB865C,Nhân viên mua hàng  Staff
35BB865C,Associates  Accountant
35BB865C,purchasing staff
35BB865C,purchasing executive
35BB865C,manager
35BB865C,Supervisor
35BB865C,Specialist
35BB865C,assistant
35BB864E,Unknown
35BB854F,Unknown
35BB865A,Đại Diện Ban Hàng
35BB865A,Nhân viên bán hàng
35BB865A,Nhân viên kinh doanh
35BB865A,Saler
35BB865A,Salesman
35BB865A,Sales Representative
35BB865A,Đại diện kinh doanh
35BB8661,Trade marketing Staff
35BB8661,Trade Marketing Officer
35BB8661,Trade Marketing Executive
35BB8661,Nhân viên Marketing
35BB8661,Chuyên viên Marketing
35BB865D,đấu thầu
35BB865D,Nhân viên dự toán đấu thầu
35BB865D,Kỹ sư dự toán đấu thầu
35BB865D,Kỹ sư dự toán đấu thầu giám sát thi công
35BB865D,Kỹ Sư Dự Án Đấu Thầu
35BB865D,Trưởng phòng đấu thầu
35BB865D,Trưởng phòng dự toán đấu thầu
35BB8662,Safety Manager
35BB8662,Giám đốc an toàn
35BB8662,Environment Leader
35BB8662,Environment Specialist
35BB868C,Nhân Viên Tư Vấn   Thu nhập - triệu – chốt data Nóng
35BB868C,Chuyên viên tư vấn
35BB868C,Tư vấn viên
35BB868C,Consultant
35BB868C,Counsellor
35BB868C,Consultant Executive
35BB865B,Nhân viên kế toán
35BB865B,Kế toán thuế
35BB865B,Kế toán tổng hợp
35BB865B,Kế toán tổng hợp kiêm kế toán thuế
35BB865B,Chuyên viên kế toán
35BB865F,Nhân viên thu mua
35BB865F,Procurement Officer
35BB865F,Purchasing Staff/ Executive/ Supervisor/ Manager
35BB865F,Nhân viên phòng thu mua
35BB865F,Purchasing
35BB8659,Chuyên viên nhân sự
35BB8659,Chuyên viên CB
35BB8659,Nhân viên hành chính nhân sự
35BB8659,Nhân viên hành chính văn phòng
35BB8659,Chuyên viên lương bổng và phúc lợi
35BB8663,Associate Director
35BB8663,Associate Research Manager
35BB8663,Executive Assistant Manager (Local)
35BB8666,Đại diện kinh doanh
35BB8666,Nhân viên phòng kinh doanh
35BB8666,Nhân viên bán hàng
35BB8666,Đại diện bán hàng
35BB8666,Telesales
35BB8666,Salesman
35BB8666,Sales Engineer
35BB8666,Sales Executive
35BB8666,Chuyên Viên Kinh Doanh
35BB8666,Sales Dept
35BB8669,Trưởng Phòng Đào Tạo Net Upto M ++
35BB8669,Training Manager
35BB8669,QUẢN LÝ
35BB8669,Chuyên viên đào tạo
35BB8669,Trưởng phòng đào tạo
35BB8669,Giám đốc đào tạo
35BB8561,Chuyên viên tài chính
35BB8561,Financial Specialist
35BB8668,Nhân viên kinh doanh tư vấn bán hàng
35BB8668,nhân viên kinh doanh
35BB8668,nhân viên bán hàng
35BB8668,nhân viên tư vấn
35BB8668,sales
35BB8658,Unknown
35BB8664,Unknown
35BB8627,Nhân viên thiết kế
35BB8627,Designer
35BB8627,Nhân viên phòng thiết kế
35BB8627,Chuyên viên thiết kế
35BB8627,Họa viên kiến trúc
35BB8627,Họa viên
35BB8627,Thiết kế đồ họa
35BB866B,Sales Director
35BB85D4,Unknown
