company_id,company_title,company_url,company_video_url
C02060,Công ty TNHH PrideVN Packaging,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-pridevn-packaging.35A95F4C.html,Unknown
C02061,TCL (Vietnam) Corporation Limited,https://careerbuilder.vn/vi/nha-tuyen-dung/tcl-vietnam-corporation-limited.35A67A64.html,https://www.youtube.com/watch?v=_nNro_Y-OnQ&feature=youtu.be
C02062,TKG Taekwang Vina,https://careerbuilder.vn/vi/nha-tuyen-dung/tkg-taekwang-vina.35A58692.html,Unknown
C02063,Công ty Cp đầu tư Xây dựng Hạ tầng và Giao thông,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-cp-dau-tu-xay-dung-ha-tang-va-giao-thong.35A8CE83.html,Unknown
C02064,Akati Wood (Vietnam) Co. Ltd,https://careerbuilder.vn/vi/nha-tuyen-dung/akati-wood-vietnam-co-ltd.35A5B0F8.html,Unknown
C02065,CÔNG TY CỔ PHẦN TẬP ĐOÀN XUẤT - NHẬP KHẨU TRÁI CÂY CHÁNH THU,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-tap-doan-xuat-nhap-khau-trai-cay-chanh-thu.35A915CB.html,Unknown
C02066,Công Ty TNHH DV Trợ Thính Quang Đức,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-dv-tro-thinh-quang-duc.35A89013.html,Unknown
C02067,Công Ty TNHH Grandhome Stone Vina,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-grandhome-stone-vina.35A9614A.html,Unknown
C02068,Công Ty Cổ phần Nhà Hòa Bình,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-nha-hoa-binh.35A73A70.html,https://www.youtube.com/watch?v=YhKcygRUVH0
C02069,"VPĐD Timtex Trading Co.,Ltd,",https://careerbuilder.vn/vi/nha-tuyen-dung/vpdd-timtex-trading-co-ltd.35A73A1C.html,Unknown
C02070,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ - KỸ THUẬT ĐỨC HÙNG,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-thuong-mai-dich-vu-ky-thuat-duc-hung.35A8FC5D.html,Unknown
C02071,Công ty CP Du lịch Coxi,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-cp-du-lich-coxi.35A8B097.html,Unknown
C02072,Marcom Mate,https://careerbuilder.vn/vi/nha-tuyen-dung/marcom-mate.35A88077.html,Unknown
C02073,Công ty Cổ phần Giáo dục Quốc tế ICS,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-giao-duc-quoc-te-ics.35A87DAE.html,Unknown
C02074,Công ty TNHH TMDV BAMA,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-tmdv-bama.35A91279.html,Unknown
C02075,"ARIZE CO., LTD",https://careerbuilder.vn/vi/nha-tuyen-dung/arize-co-ltd.35A88F4F.html,Unknown
