company_id,company_title,company_url,company_video_url
C00491,CÔNG TY TNHH GỖ HẰNG NGHĨA,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-go-hang-nghia.35A9569D.html,Unknown
C00492,CÔNG TY TNHH HAPPY SMART FURNISHINGS (VIỆT NAM),https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-happy-smart-furnishings-viet-nam.35A93EC2.html,Unknown
C00493,CÔNG TY TNHH HOLIDAYS VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-holidays-viet-nam.35A9592B.html,Unknown
C00494,CÔNG TY TNHH HUMASIS VINA,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-humasis-vina.35A8DD96.html,Unknown
C00495,CÔNG TY TNHH HÓA CHẤT GHW (VIETNAM),https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-hoa-chat-ghw-vietnam.35A91B4A.html,Unknown
C00496,CÔNG TY TNHH HÓA CHẤT Ô XY,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-hoa-chat-o-xy.35A8A9F4.html,Unknown
C00497,CÔNG TY TNHH HỌC THỨC TIÊU ĐIỂM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-hoc-thuc-tieu-diem.35A8ADF0.html,Unknown
C00498,CÔNG TY TNHH HỌC THỨC TIÊU ĐIỂM  (FOCUS LEARNING),https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-hoc-thuc-tieu-diem-focus-learning.35A8ADF0.html,Unknown
C00499,CÔNG TY TNHH IN BAO BÌ TOÀN PHÁT,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-in-bao-bi-toan-phat.35A8592D.html,Unknown
C00500,CÔNG TY TNHH IN ẤN ĐẦU TƯ VÀ PHÁT TRIỂN Á CHÂU,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-in-an-dau-tu-va-phat-trien-a-chau.35A770CF.html,Unknown
C00501,CÔNG TY TNHH INFOPLUS,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-infoplus.35A8DDE5.html,Unknown
C00502,CÔNG TY TNHH INPAT (VIETNAM),https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-inpat-vietnam.35A91715.html,Unknown
C00503,CÔNG TY TNHH INZI VINA,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-inzi-vina.35A8B4F2.html,Unknown
C00504,CÔNG TY TNHH IRIS OHYAMA VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-iris-ohyama-viet-nam.35A95FE0.html,Unknown
C00505,CÔNG TY TNHH ITECHWX,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-itechwx.35A952A3.html,Unknown
C00506,CÔNG TY TNHH JLDD GROUP,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-jldd-group.35A8DC27.html,Unknown
