City,job_id,company_id
Hà Nội,35BB86D8,C01389
Bà Rịa - Vũng Tàu,35BB86C8,C01537
Hồ Chí Minh,35BB86C7,C01537
Long An,35BB86CA,C01537
Bà Rịa - Vũng Tàu,35BB86CB,C01537
Hồ Chí Minh,35BB86CD,C00667
Hồ Chí Minh,35BB8697,C00007
Hồ Chí Minh,35BB86D2,C00092
Hồ Chí Minh,35BB86CF,C00840
Hồ Chí Minh,35BB86D1,C01389
Khánh Hòa,35BB86D3,C01585
Đồng Nai,35BB86D5,C01839
Hồ Chí Minh,35BB86D7,C01389
Đồng Nai,35BB86C3,C01537
Nam Định,35BB86D6,C01585
Hà Nội,35BB8504,C01840
Bình Dương,35BB86C4,C01537
Long An,35BB86C9,C01537
Hà Nội,35BB86A2,C01589
Nghệ An,35BB86A2,C01589
Hà Nội,35BB8691,C01841
Bình Dương,35BB86C5,C01537
Quảng Trị,35BB86D4,C01585
Hưng Yên,35BB8693,C00026
Hồ Chí Minh,35BB8690,C01529
Hồ Chí Minh,35BB86C6,C01537
An Giang,35BB8696,C01537
Hồ Chí Minh,35BB8699,C01842
Hồ Chí Minh,35BB84C9,C00755
Hồ Chí Minh,35BB8657,C00769
Hồ Chí Minh,35BB868F,C01433
Hà Nội,35BB8694,C00311
Hồ Chí Minh,35BB8695,C01006
Hà Nội,35BB869C,C01843
Hà Nội,35BB86A1,C01589
Hà Nội,35BB869D,C00744
Hồ Chí Minh,35BB869E,C01433
Bạc Liêu,35BB869F,C01584
Cần Thơ,35BB869F,C01584
Đồng Nai,35BB8687,C00077
Hà Nội,35BB866C,C01841
Hà Nội,35BB869B,C01680
Hà Nội,35BB865C,C01127
Hải Dương,35BB865C,C01127
Hồ Chí Minh,35BB864E,C01844
Hồ Chí Minh,35BB854F,C01051
Hà Nội,35BB865A,C00213
Hồ Chí Minh,35BB8661,C01841
Hồ Chí Minh,35BB865D,C00092
Hồ Chí Minh,35BB8662,C00415
Hà Nội,35BB868C,C01845
Hồ Chí Minh,35BB865B,C01846
Hà Nội,35BB865F,C00213
Hà Nội,35BB8659,C01841
Hồ Chí Minh,35BB8663,C00919
Hà Nội,35BB8666,C00213
Hà Nội,35BB8669,C01841
Hồ Chí Minh,35BB8561,C01847
Hà Nội,35BB8668,C00213
Hồ Chí Minh,35BB8658,C01848
Hà Nội,35BB8664,C00237
Hồ Chí Minh,35BB8627,C01389
Hồ Chí Minh,35BB866B,C00919
Hồ Chí Minh,35BB85D4,C01804
Đồng Nai,35BB8629,C00788
Hà Nội,35BB862A,C01841
Đồng Nai,35BB857F,C01524
Hà Nội,35BB8624,C01752
Hà Nội,35BB8621,C01849
Hà Nội,35BB8625,C01850
Hà Nội,35BB8628,C01841
Đồng Nai,35BB85EB,C01251
Hà Nội,35BB85E1,C01843
Hồ Chí Minh,35BB862D,C01851
Lạng Sơn,35BB862F,C00697
Hà Nội,35BB84A3,C00237
Hồ Chí Minh,35BB85F0,C00041
Hồ Chí Minh,35BB8638,C01852
Hồ Chí Minh,35BB8637,C01844
Hà Nội,35BB85F2,C00301
Hà Nội,35BB85F8,C01772
Hồ Chí Minh,35BB85F3,C00030
Hà Nội,35BB85F3,C00030
Hồ Chí Minh,35BB862E,C01853
Hà Nội,35BB85F4,C01772
Hồ Chí Minh,35BB8639,C01757
Hồ Chí Minh,35BB85F5,C01854
Hồ Chí Minh,35BB85FC,C01600
Hồ Chí Minh,35BB85FA,C01717
Đồng Nai,35BB85FA,C01717
Bình Dương,35BB85FA,C01717
Bình Thuận,35BB85FD,C01772
Hồ Chí Minh,35BB85FF,C01855
Hà Nội,35BB85F9,C01772
Hồ Chí Minh,35BB85B2,C01697
Hà Nội,35BB85BB,C01841
Hà Nội,35BB85B6,C01856
Hồ Chí Minh,35BB85BC,C00350
Hồ Chí Minh,35BB85C1,C00253
Hà Nội,35BB85BD,C01856
Bình Dương,35BB8559,C01857
Hồ Chí Minh,35BB8559,C01857
Đồng Nai,35BB8559,C01857
Hồ Chí Minh,35BB85BE,C01858
Hà Nội,35BB85B9,C00285
Phú Thọ,35BB85FB,C01407
Hà Nam,35BB85C2,C01317
Hà Nam,35BB85C5,C01317
Đà Nẵng,35BB85C3,C01471
Quảng Ngãi,35BB85CC,C01772
Hà Nam,35BB85C8,C01317
Quảng Ngãi,35BB85A7,C01772
Hà Nội,35BB85C9,C01856
Hà Nội,35BB85C0,C01140
Hà Nội,35BB85CA,C01841
Tây Ninh,35BB85CB,C00964
Bình Dương,35BB8601,C01779
Dak Nông,35BB857E,C00325
Hà Nội,35BB8581,C01796
Sóc Trăng,35BB85C6,C00245
Hà Nội,35BB849E,C01859
Hồ Chí Minh,35BB8583,C01433
Cần Thơ,35BB8587,C00710
Hồ Chí Minh,35BB8582,C00609
Cần Thơ,35BB8582,C00609
Trà Vinh,35BB8582,C00609
Bình Dương,35BB8584,C00102
Hà Nội,35BB8586,C00301
Hồ Chí Minh,35BB8586,C00301
Thừa Thiên- Huế,35BB84FC,C01423
Hồ Chí Minh,35BB8585,C01656
Hồ Chí Minh,35BB8588,C01163
Hà Nội,35BB8580,C00301
Hồ Chí Minh,35BB8580,C00301
Thừa Thiên- Huế,35BB84EB,C01423
Hà Nội,35BB858B,C00663
Hồ Chí Minh,35BB8589,C00029
Hà Nội,35BB858D,C00301
Hồ Chí Minh,35BB858D,C00301
Bình Dương,35BB8542,C01416
Hà Nội,35BB858E,C00301
Hồ Chí Minh,35BB858E,C00301
Hồ Chí Minh,35BB8546,C01637
Hồ Chí Minh,35BB8543,C00412
Hà Nội,35BB8543,C00412
Hồ Chí Minh,35BB8548,C01519
Hà Nội,35BB854A,C01860
Quảng Ninh,35BB8547,C00061
Hồ Chí Minh,35BB8524,C01861
Hồ Chí Minh,35BB84B2,C01785
Hà Nội,35BB852B,C01862
Quảng Ninh,35BB8552,C00061
Quảng Ninh,35BB854E,C00061
Hồ Chí Minh,35BB8544,C00143
Hồ Chí Minh,35BB8545,C01863
Hồ Chí Minh,35BB854B,C00155
Hải Phòng,35BB8553,C01864
Hà Nội,35BB8551,C00237
Hà Nội,35BB84FB,C01807
Hồ Chí Minh,35BB8388,C01865
Hà Nội,35BB84FE,C01084
Hà Nội,35BB8500,C01084
Hồ Chí Minh,35BB8506,C00919
Hồ Chí Minh,35BB8157,C01866
Hồ Chí Minh,35BB8501,C01867
Hà Nội,35BB8508,C00376
Hồ Chí Minh,35BB84FF,C01868
Quảng Ninh,35BB850B,C00061
Hồ Chí Minh,35BB8356,C01869
Hà Nội,35BB850E,C00376
Hồ Chí Minh,35BB84FD,C01407
Hồ Chí Minh,35BB84CD,C01870
Hải Phòng,35BB84CD,C01870
Cần Thơ,35BB84CD,C01870
Hồ Chí Minh,35BB836E,C01869
Hồ Chí Minh,35BB850D,C01868
Quảng Ninh,35BB84D2,C00061
Hà Nội,35AA48FF,C01871
Hồ Chí Minh,35AA48FF,C01871
Hồ Chí Minh,35BB836B,C01869
Hồ Chí Minh,35BB84D0,C01872
Trà Vinh,35BB84D5,C01092
Cần Thơ,35BB84CF,C01313
Hà Nội,35BB84D1,C00237
Hồ Chí Minh,35BB84D3,C01095
Hồ Chí Minh,35BB84D9,C01092
Hà Nội,35BB84D7,C01873
Hồ Chí Minh,35BB84DC,C01209
Hà Nội,35BB84CC,C01874
Bà Rịa - Vũng Tàu,35BB84DD,C01875
Hồ Chí Minh,35BB84D8,C00509
Hồ Chí Minh,35BB84DA,C01779
Long An,35BB84E1,C00818
Quảng Ngãi,35BB848E,C01772
Hà Nội,35BB848A,C00569
Hồ Chí Minh,35BB848A,C00569
Quảng Ngãi,35BB848F,C01772
Hồ Chí Minh,35BB84DF,C01209
Tiền Giang,35BB84D6,C01092
Hà Nội,35BB8491,C01778
Long An,35BB847F,C00898
Hồ Chí Minh,35BB8490,C01584
Hà Nội,35BB8490,C01584
Hà Nội,35BB8495,C00569
Hồ Chí Minh,35BB8496,C01876
Hồ Chí Minh,35BB83B4,C01877
Hà Nội,35BB8498,C01589
Hồ Chí Minh,35BB84D4,C01070
Hà Nội,35BB8499,C01589
Hồ Chí Minh,35BB84A1,C00119
Hà Nội,35BB84A8,C01878
Hồ Chí Minh,35BB84A8,C01878
Hồ Chí Minh,35BB8497,C00366
Hà Nội,35BB84A5,C00062
Hồ Chí Minh,35BB8458,C00694
Hà Nội,35BB84DB,C01873
Hà Nội,35BB67F4,C01879
Hồ Chí Minh,35BB67F4,C01879
Hà Nội,35BB845A,C01778
Hà Nội,35BB8271,C01760
Hồ Chí Minh,35BB8459,C01583
Hồ Chí Minh,35BB845E,C01583
Hà Nội,35BB845D,C01772
Hồ Chí Minh,35BB8460,C01158
Hồ Chí Minh,35BB8351,C01880
Hồ Chí Minh,35BB8492,C01807
Đồng Nai,35BB7F0A,C01881
Toàn quốc,35BB83C2,C01185
Hà Nội,35BB849B,C01589
Hồ Chí Minh,35BB845F,C01747
Hà Nội,35BB849F,C00062
Đà Nẵng,35BB849F,C00062
Hồ Chí Minh,35BB8462,C01158
Toàn quốc,35BB845B,C01185
Hồ Chí Minh,35BB8463,C01516
Hà Nội,35BB7767,C01083
Hà Nội,35BB7877,C00529
Hồ Chí Minh,35BB795A,C00489
Hà Nội,35BB7765,C01083
Đồng Nai,35BB7734,C01882
Hồ Chí Minh,35BB78B9,C00117
Hồ Chí Minh,35BB7950,C01475
Hồ Chí Minh,35BB7940,C01883
Hà Nội,35BB82BE,C01461
Hà Nội,35BB8402,C01884
Đà Nẵng,35BB8402,C01884
Hồ Chí Minh,35BB8402,C01884
Hồ Chí Minh,35BB78A4,C00117
Hà Nội,35BB8229,C00389
Hồ Chí Minh,35BB8448,C01557
Hà Nội,35BB8408,C01885
Bắc Ninh,35BB8408,C01885
Đà Nẵng,35BB8461,C00139
Hà Nội,35BB8464,C00723
Đồng Nai,35BB789E,C00221
Hồ Chí Minh,35BB7CC3,C00119
Hồ Chí Minh,35BB8446,C01557
Hồ Chí Minh,35BB832F,C00966
Hồ Chí Minh,35BB7875,C01886
Hà Nội,35BB78AA,C01887
Hồ Chí Minh,35BB77DA,C01888
Hồ Chí Minh,35BB77D4,C01779
Hồ Chí Minh,35BB7749,C01779
Gia Lai,35BB77C4,C01382
Hồ Chí Minh,35BB798B,C01600
Hồ Chí Minh,35BB7789,C01889
Hồ Chí Minh,35BB77A8,C01779
Hồ Chí Minh,35BB7873,C01209
Đồng Nai,35BB781A,C00054
Hồ Chí Minh,35BB787B,C00054
Hồ Chí Minh,35BB778E,C00054
Hồ Chí Minh,35BB774A,C01341
Hồ Chí Minh,35BB7830,C01889
Hậu Giang,35BB79AF,C01614
Sóc Trăng,35BB79AF,C01614
Hồ Chí Minh,35BB79A0,C01890
Hồ Chí Minh,35BB75D9,C01891
Hà Nội,35BB7720,C01312
Hải Dương,35BB78C2,C01127
Tiền Giang,35BB61AB,C01892
Hà Nội,35BB77F8,C01893
Hồ Chí Minh,35BB783B,C01894
Hà Nội,35BB7783,C01592
