job_id,outstanding_welfare
35BB86D8,Chế độ bảo hiểm
35BB86D8,Du Lịch
35BB86D8,Chế độ thưởng
35BB86C8,Chế độ bảo hiểm
35BB86C8,Du Lịch
35BB86C8,Phụ cấp
35BB86C7,Chế độ bảo hiểm
35BB86C7,Du Lịch
35BB86C7,Phụ cấp
35BB86CA,Chế độ bảo hiểm
35BB86CA,Du Lịch
35BB86CA,Phụ cấp
35BB86CB,Chế độ bảo hiểm
35BB86CB,Du Lịch
35BB86CB,Chế độ thưởng
35BB86CD,Chế độ bảo hiểm
35BB86CD,Du Lịch
35BB86CD,Phụ cấp
35BB8697,Chế độ bảo hiểm
35BB8697,Du Lịch
35BB8697,Chế độ thưởng
35BB86D2,Chế độ bảo hiểm
35BB86D2,Du Lịch
35BB86D2,Chế độ thưởng
35BB86CF,Unknown
35BB86D1,Chế độ bảo hiểm
35BB86D1,Du Lịch
35BB86D1,Chế độ thưởng
35BB86D3,Chế độ bảo hiểm
35BB86D3,Du Lịch
35BB86D3,Phụ cấp
35BB86D5,Chế độ bảo hiểm
35BB86D5,Du Lịch
35BB86D5,Chế độ thưởng
35BB86D7,Chế độ bảo hiểm
35BB86D7,Du Lịch
35BB86D7,Chế độ thưởng
35BB86C3,Chế độ bảo hiểm
35BB86C3,Du Lịch
35BB86C3,Phụ cấp
35BB86D6,Chế độ bảo hiểm
35BB86D6,Du Lịch
35BB86D6,Phụ cấp
35BB8504,Chế độ bảo hiểm
35BB8504,Du Lịch
35BB8504,Chế độ thưởng
35BB86C4,Chế độ bảo hiểm
35BB86C4,Du Lịch
35BB86C4,Phụ cấp
35BB86C9,Chế độ bảo hiểm
35BB86C9,Du Lịch
35BB86C9,Phụ cấp
35BB86A2,Chế độ bảo hiểm
35BB86A2,Du Lịch
35BB86A2,Chế độ thưởng
35BB8691,Laptop
35BB8691,Chế độ bảo hiểm
35BB8691,Du Lịch
35BB86C5,Chế độ bảo hiểm
35BB86C5,Du Lịch
35BB86C5,Phụ cấp
35BB86D4,Chế độ bảo hiểm
35BB86D4,Du Lịch
35BB86D4,Phụ cấp
35BB8693,Chế độ bảo hiểm
35BB8693,Du Lịch
35BB8693,Đồng phục
35BB8690,Laptop
35BB8690,Chế độ bảo hiểm
35BB8690,Du Lịch
35BB86C6,Chế độ bảo hiểm
35BB86C6,Du Lịch
35BB86C6,Phụ cấp
35BB8696,Chế độ bảo hiểm
35BB8696,Du Lịch
35BB8696,Phụ cấp
35BB8699,Chế độ bảo hiểm
35BB8699,Du Lịch
35BB8699,Chế độ thưởng
35BB84C9,Chế độ bảo hiểm
35BB84C9,Du Lịch
35BB84C9,Chế độ thưởng
35BB8657,Phụ cấp
35BB8657,Đào tạo
35BB8657,Nghỉ phép năm
35BB868F,Chế độ bảo hiểm
35BB868F,Du Lịch
