job_id,hinh_thuc
35BB86D8,Nhân viên chính thức
35BB86C8,Nhân viên chính thức
35BB86C7,Nhân viên chính thức
35BB86CA,Nhân viên chính thức
35BB86CB,Nhân viên chính thức
35BB86CD,Nhân viên chính thức
35BB8697,Nhân viên chính thức
35BB86D2,Unknown
35BB86CF,Unknown
35BB86D1,Nhân viên chính thức
35BB86D3,Nhân viên chính thức
35BB86D5,Nhân viên chính thức
35BB86D7,Nhân viên chính thức
35BB86C3,Nhân viên chính thức
35BB86D6,Nhân viên chính thức
35BB8504,Nhân viên chính thức
35BB86C4,Nhân viên chính thức
35BB86C9,Nhân viên chính thức
35BB86A2,Nhân viên chính thức
35BB8691,Nhân viên chính thức
35BB86C5,Nhân viên chính thức
35BB86D4,Nhân viên chính thức
35BB8693,Nhân viên chính thức
35BB8690,Nhân viên chính thức
35BB86C6,Nhân viên chính thức
35BB8696,Nhân viên chính thức
35BB8699,Nhân viên chính thức
35BB84C9,Nhân viên chính thức
35BB8657,Thực tập
35BB868F,Unknown
35BB8694,Nhân viên chính thức
35BB8695,Unknown
35BB869C,Nhân viên chính thức
35BB86A1,Nhân viên chính thức
35BB869D,Nhân viên chính thức
35BB869E,Nhân viên chính thức
35BB869F,Nhân viên chính thức
35BB8687,Unknown
35BB866C,Nhân viên chính thức
35BB869B,Unknown
35BB865C,Nhân viên chính thức
35BB864E,Nhân viên chính thức
35BB854F,Nhân viên chính thức
35BB865A,Nhân viên chính thức
35BB8661,Nhân viên chính thức
35BB865D,Unknown
35BB8662,Nhân viên chính thức
35BB868C,Nhân viên chính thức
35BB865B,Nhân viên chính thức
35BB865F,Nhân viên chính thức
35BB8659,Nhân viên chính thức
35BB8663,Nhân viên chính thức
35BB8666,Nhân viên chính thức
35BB8669,Nhân viên chính thức
35BB8561,Nhân viên chính thức
35BB8668,Nhân viên chính thức
35BB8658,Nhân viên chính thức
35BB8664,Nhân viên chính thức
35BB8627,Unknown
35BB866B,Nhân viên chính thức
35BB85D4,Nhân viên chính thức
35BB8629,Nhân viên chính thức
35BB862A,Nhân viên chính thức
35BB857F,Nhân viên chính thức
35BB8624,Nhân viên chính thức
35BB8621,Nhân viên chính thức
35BB8625,Nhân viên chính thức
35BB8628,Nhân viên chính thức
35BB85EB,Nhân viên chính thức
35BB85E1,Nhân viên chính thức
35BB862D,Nhân viên chính thức
35BB862F,Nhân viên chính thức
35BB84A3,Nhân viên chính thức
35BB85F0,Nhân viên chính thức
35BB8638,Nhân viên chính thức
35BB8637,Nhân viên chính thức
35BB85F2,Nhân viên chính thức
35BB85F2,Bán thời gian
35BB85F2,Thời vụ/ Nghề tự do
35BB85F2,Thực tập
35BB85F8,Nhân viên chính thức
35BB85F8,Bán thời gian
35BB85F3,Nhân viên chính thức
35BB862E,Nhân viên chính thức
35BB85F4,Nhân viên chính thức
35BB8639,Nhân viên chính thức
35BB85F5,Nhân viên chính thức
35BB85FC,Nhân viên chính thức
35BB85FA,Nhân viên chính thức
35BB85FD,Nhân viên chính thức
35BB85FF,Nhân viên chính thức
35BB85F9,Nhân viên chính thức
35BB85B2,Nhân viên chính thức
35BB85B2,Bán thời gian
35BB85BB,Nhân viên chính thức
35BB85B6,Nhân viên chính thức
35BB85BC,Unknown
35BB85C1,Nhân viên chính thức
35BB85BD,Nhân viên chính thức
35BB8559,Unknown
35BB85BE,Nhân viên chính thức
35BB85B9,Nhân viên chính thức
35BB85FB,Nhân viên chính thức
35BB85C2,Nhân viên chính thức
35BB85C5,Nhân viên chính thức
35BB85C3,Nhân viên chính thức
35BB85CC,Nhân viên chính thức
35BB85C8,Nhân viên chính thức
35BB85A7,Nhân viên chính thức
35BB85C9,Nhân viên chính thức
35BB85C0,Nhân viên chính thức
35BB85CA,Nhân viên chính thức
35BB85CB,Nhân viên chính thức
35BB8601,Nhân viên chính thức
35BB857E,Nhân viên chính thức
35BB8581,Nhân viên chính thức
35BB85C6,Nhân viên chính thức
35BB849E,Nhân viên chính thức
35BB8583,Nhân viên chính thức
35BB8587,Nhân viên chính thức
35BB8582,Nhân viên chính thức
35BB8584,Nhân viên chính thức
35BB8586,Nhân viên chính thức
35BB8586,Bán thời gian
35BB8586,Thời vụ/ Nghề tự do
35BB8586,Thực tập
35BB84FC,Nhân viên chính thức
35BB8585,Nhân viên chính thức
35BB8588,Nhân viên chính thức
35BB8580,Nhân viên chính thức
35BB8580,Bán thời gian
35BB8580,Thời vụ/ Nghề tự do
35BB8580,Thực tập
35BB84EB,Nhân viên chính thức
35BB858B,Nhân viên chính thức
35BB8589,Nhân viên chính thức
35BB858D,Nhân viên chính thức
35BB858D,Bán thời gian
35BB858D,Thời vụ/ Nghề tự do
35BB858D,Thực tập
35BB8542,Unknown
35BB858E,Nhân viên chính thức
35BB858E,Bán thời gian
