job_id,nganh_nghe
35BB85EB,Sản xuất / Vận hành sản xuất
35BB85E1,Bán hàng / Kinh doanh
35BB85E1,Tư vấn
35BB85E1,Dịch vụ khách hàng
35BB862D,Kế toán / Kiểm toán
35BB862F,Tiếp thị / Marketing
35BB862F,Bán hàng / Kinh doanh
35BB862F,Tư vấn
35BB84A3,Tài chính / Đầu tư
35BB85F0,Cơ khí / Ô tô / Tự động hóa
35BB85F0,Bảo trì / Sửa chữa
35BB85F0,Xây dựng
35BB8638,Bất động sản
35BB8638,Hành chính / Thư ký
35BB8638,Xây dựng
35BB8637,Ngân hàng
35BB8637,Bất động sản
35BB85F2,Tiếp thị / Marketing
35BB85F2,Nhân sự
35BB85F2,Nhà hàng / Khách sạn
35BB85F8,Dịch vụ khách hàng
35BB85F8,Du lịch
35BB85F8,Hành chính / Thư ký
35BB85F3,Tiếp thị / Marketing
35BB85F3,Bán hàng / Kinh doanh
35BB85F3,Tài chính / Đầu tư
35BB862E,Dược phẩm
35BB862E,Y tế / Chăm sóc sức khỏe
35BB862E,Dịch vụ khách hàng
35BB85F4,Hành chính / Thư ký
35BB85F4,Quản lý điều hành
35BB85F4,Nhân sự
35BB8639,Hành chính / Thư ký
35BB85F5,Hành chính / Thư ký
35BB85F5,Kế toán / Kiểm toán
35BB85FC,Kế toán / Kiểm toán
35BB85FC,Ngân hàng
35BB85FC,Tài chính / Đầu tư
35BB85FA,Nhân sự
35BB85FA,Biên phiên dịch
35BB85FA,Hành chính / Thư ký
35BB85FD,Điện / Điện tử / Điện lạnh
35BB85FD,Bảo trì / Sửa chữa
35BB85FD,Mới tốt nghiệp / Thực tập
35BB85FF,Dược phẩm
35BB85FF,Y tế / Chăm sóc sức khỏe
35BB85F9,Luật / Pháp lý
35BB85F9,Vận chuyển / Giao nhận /  Kho vận
35BB85F9,Thu mua / Vật tư
35BB85B2,Bán lẻ / Bán sỉ
35BB85B2,Dược phẩm
35BB85B2,Y tế / Chăm sóc sức khỏe
35BB85BB,Tiếp thị / Marketing
35BB85BB,Bán hàng / Kinh doanh
35BB85BB,Tiếp thị trực tuyến
35BB85B6,Luật / Pháp lý
35BB85B6,Ngân hàng
35BB85B6,Tài chính / Đầu tư
35BB85BC,Unknown
35BB85C1,Bán lẻ / Bán sỉ
35BB85BD,Ngân hàng
35BB85BD,CNTT - Phần mềm
35BB85BD,CNTT - Phần cứng / Mạng
35BB8559,Unknown
35BB85BE,Dược phẩm
35BB85BE,Y tế / Chăm sóc sức khỏe
35BB85BE,Nhân sự
35BB85B9,Lao động phổ thông
35BB85B9,Dệt may / Da giày / Thời trang
35BB85B9,Ngành khác
35BB85FB,Dịch vụ khách hàng
35BB85FB,Bảo hiểm
35BB85FB,Ngân hàng
35BB85C2,Ngành khác
35BB85C5,CNTT - Phần mềm
35BB85C5,CNTT - Phần cứng / Mạng
35BB85C3,Cơ khí / Ô tô / Tự động hóa
35BB85C3,Bảo trì / Sửa chữa
35BB85C3,Sản xuất / Vận hành sản xuất
35BB85CC,Cơ khí / Ô tô / Tự động hóa
35BB85CC,Bảo trì / Sửa chữa
35BB85C8,Ngành khác
35BB85A7,Cơ khí / Ô tô / Tự động hóa
35BB85A7,Điện / Điện tử / Điện lạnh
35BB85A7,Bảo trì / Sửa chữa
35BB85C9,Ngân hàng
35BB85C9,CNTT - Phần mềm
35BB85C9,CNTT - Phần cứng / Mạng
35BB85C0,Kế toán / Kiểm toán
35BB85C0,Tài chính / Đầu tư
35BB85C0,Dệt may / Da giày / Thời trang
35BB85CA,Bán lẻ / Bán sỉ
35BB85CA,Bán hàng / Kinh doanh
35BB85CA,Tiếp thị trực tuyến
35BB85CB,Cơ khí / Ô tô / Tự động hóa
35BB85CB,Điện / Điện tử / Điện lạnh
35BB8601,Cơ khí / Ô tô / Tự động hóa
35BB857E,Bán hàng / Kinh doanh
