company_id,company_title,company_url,company_video_url
C01934,CÔNG TY CỔ PHẦN THIẾT KẾ VÀ QUẢN LÝ KỸ THUẬT IMP,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-thiet-ke-va-quan-ly-ky-thuat-imp.35A8F2FF.html,Unknown
C01935,OMN1 Solution,https://careerbuilder.vn/vi/nha-tuyen-dung/omn1-solution.35A85CD3.html,Unknown
C01936,Công ty cổ phần Lữ hành Vietluxtour,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-lu-hanh-vietluxtour.35A95898.html,Unknown
C01937,Công Ty TNHH Modan Home,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-modan-home.35A94DE4.html,Unknown
C01938,Công ty cổ phần TNH 99,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-tnh-99.35A95D14.html,Unknown
C01939,CÔNG TY CỔ PHẦN TỰ ĐỘNG HOÁ TCI,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-tu-dong-hoa-tci.35A8AA23.html,https://www.youtube.com/watch?v=CIrflX3gb8Y
C01940,TALENTNET CORPORATION,https://careerbuilder.vn/vi/nha-tuyen-dung/talentnet-corporation.35A8BFCC.html,Unknown
C01941,Công ty Cổ Phần Lucky Steel Buildings,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-lucky-steel-buildings.35A90C0F.html,Unknown
C01942,Tổ  Chức Đào Tạo Doanh Nhân PTI,https://careerbuilder.vn/vi/nha-tuyen-dung/to-chuc-dao-tao-doanh-nhan-pti.35A77AB4.html,Unknown
C01943,CÔNG TY TNHH HI-TEX,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-hi-tex.35A8A522.html,Unknown
C01944,Công ty TNHH Shua Việt Nam,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-shua-viet-nam.35A902DF.html,Unknown
C01945,Công Ty TNHH Star Concord (Việt Nam) - Chi nhánh Hải Phòng,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-star-concord-viet-nam-chi-nhanh-hai-phong.35A76434.html,Unknown
C01946,Công Ty Cổ Phần Cơ Khí Xây Dựng Thương Mại Đại Dũng,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-co-khi-xay-dung-thuong-mai-dai-dung.35A6486A.html,Unknown
C01947,CÔNG TY TNHH QUỐC TẾ NEVA,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-quoc-te-neva.35A8207D.html,Unknown
C01948,Công ty JRL Engineering Việt Nam,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-jrl-engineering-viet-nam.35A95F1D.html,Unknown
C01949,CÔNG TY CỔ PHẦN ĐẦU TƯ TÂN LẬP GROUP,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-dau-tu-tan-lap-group.35A8FE45.html,Unknown
C01950,CÔNG TY TNHH LI CHENG ENTERPRISE VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-li-cheng-enterprise-viet-nam.35A93B4B.html,Unknown
C01951,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ SẢN XUẤT HƯƠNG THỦY,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-thuong-mai-dich-vu-san-xuat-huong-thuy.35A893FB.html,Unknown
C01952,CÔNG TY TNHH HEYO GROUP,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-heyo-group.35A8ED82.html,Unknown
C01953,Phòng khám da liễu Quốc tế Grace Skincare Clinic - Công Ty TNHH May Hun,https://careerbuilder.vn/vi/nha-tuyen-dung/phong-kham-da-lieu-quoc-te-grace-skincare-clinic-cong-ty-tnhh-may-hun.35A8964C.html,https://www.youtube.com/watch?v=y5AChYz5ulc
C01954,Công ty TNHH Palfinger Marine Việt Nam,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-palfinger-marine-viet-nam.35A9500B.html,Unknown
C01955,CÔNG TY CỔ PHẦN TẬP ĐOÀN MARKETING GLOBAL,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-tap-doan-marketing-global.35A8B929.html,Unknown
C01956,CÔNG TY TNHH MỘT THÀNH VIÊN VINA PAPER,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mot-thanh-vien-vina-paper.35A956C6.html,Unknown
C01957,CÔNG TY CỔ PHẦN NHÀ KHUNG THÉP VÀ THIẾT BỊ CÔNG NGHIỆP,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-nha-khung-thep-va-thiet-bi-cong-nghiep.35A81D88.html,https://www.youtube.com/watch?v=dVf5dvss4KU
C01958,Công Ty Cổ Phần Tập đoàn Xây dựng Thành Đô,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-co-phan-tap-doan-xay-dung-thanh-do.35A82D81.html,Unknown
C01959,Công ty CP đầu tư xây dựng Hạ tầng và Giao thông,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-cp-dau-tu-xay-dung-ha-tang-va-giao-thong.35A8CE83.html,Unknown
C01960,CARA LIGHTING - Công ty TNHH Giải Pháp Chiếu Sáng CARA,https://careerbuilder.vn/vi/nha-tuyen-dung/cara-lighting-cong-ty-tnhh-giai-phap-chieu-sang-cara.35A80777.html,https://www.youtube.com/watch?v=J_uyju-QelA
C01961,CÔNG TY TNHH XITA,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-xita.35A96064.html,Unknown
C01962,KDDI Vietnam Corporation - HCM Branch,https://careerbuilder.vn/vi/nha-tuyen-dung/kddi-vietnam-corporation-hcm-branch.35A500B5.html,https://www.youtube.com/watch?v=t39c9WIygtQ
C01963,CÔNG TY TNHH MỘT THÀNH VIÊN ỐNG THÉP HÒA PHÁT BÌNH DƯƠNG,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mot-thanh-vien-ong-thep-hoa-phat-binh-duong.35A90F6B.html,Unknown
C01964,Suntory PepsiCo Viet Nam,https://careerbuilder.vn/vi/nha-tuyen-dung/suntory-pepsico-viet-nam.35A712DB.html,Unknown
C01965,CÔNG TY TNHH LIFE ON,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-life-on.35A899F7.html,Unknown
C01966,Công Ty TNHH Dịch Vụ và Cung Cấp Thực Phẩm Quốc Tế-IFSS,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-dich-vu-va-cung-cap-thuc-pham-quoc-te-ifss.35A71E5E.html,https://www.youtube.com/watch?v=eQrgOaLf9YY
C01967,CÔNG TY TNHH NETLINK VIỆT NAM,https://careerbuilder.vn/vi/nha-tuyen-dung/cong-ty-tnhh-netlink-viet-nam.35A6EF44.html,Unknown
