job_id,detailed_welfare
35BB8690,Công tác phí
35BB8690,Phụ cấp thâm niên
35BB8690,Nghỉ phép năm
35BB86C6,Chế độ bảo hiểm
35BB86C6,Du Lịch
35BB86C6,Phụ cấp
35BB86C6,Du lịch nước ngoài
35BB86C6,Chế độ thưởng
35BB86C6,Chăm sóc sức khỏe
35BB86C6,Đào tạo
35BB86C6,Tăng lương
35BB86C6,Công tác phí
35BB86C6,Nghỉ phép năm
35BB8696,Chế độ bảo hiểm
35BB8696,Du Lịch
35BB8696,Phụ cấp
35BB8696,Du lịch nước ngoài
35BB8696,Chế độ thưởng
35BB8696,Chăm sóc sức khỏe
35BB8696,Đào tạo
35BB8696,Tăng lương
35BB8696,Công tác phí
35BB8696,Nghỉ phép năm
35BB8699,Chế độ bảo hiểm
35BB8699,Du Lịch
35BB8699,Chế độ thưởng
35BB8699,Chăm sóc sức khỏe
35BB8699,Đào tạo
35BB8699,Tăng lương
35BB84C9,Chế độ bảo hiểm
35BB84C9,Du Lịch
35BB84C9,Chế độ thưởng
35BB84C9,Chăm sóc sức khỏe
35BB84C9,Đào tạo
35BB84C9,Tăng lương
35BB8657,Phụ cấp
35BB8657,Đào tạo
35BB8657,Nghỉ phép năm
35BB868F,Unknown
35BB8694,Chế độ bảo hiểm
35BB8694,Du Lịch
35BB8694,Phụ cấp
35BB8694,Xe đưa đón
35BB8694,Du lịch nước ngoài
35BB8694,Đồng phục
35BB8694,Chế độ thưởng
35BB8694,Chăm sóc sức khỏe
35BB8694,Đào tạo
35BB8694,Tăng lương
35BB8694,Công tác phí
35BB8694,Phụ cấp thâm niên
35BB8694,Nghỉ phép năm
35BB8695,Unknown
35BB869C,Chế độ bảo hiểm
35BB869C,Du Lịch
35BB869C,Chế độ thưởng
35BB869C,Chăm sóc sức khỏe
35BB869C,Đào tạo
35BB869C,Tăng lương
35BB86A1,Chế độ bảo hiểm
35BB86A1,Du Lịch
35BB86A1,Chế độ thưởng
35BB86A1,Chăm sóc sức khỏe
35BB86A1,Đào tạo
35BB86A1,Tăng lương
35BB869D,Laptop
35BB869D,Chế độ bảo hiểm
35BB869D,Du Lịch
35BB869D,Phụ cấp
35BB869D,Đồng phục
35BB869D,Chế độ thưởng
35BB869D,Chăm sóc sức khỏe
35BB869D,Đào tạo
35BB869D,Tăng lương
35BB869D,Nghỉ phép năm
35BB869D,CLB thể thao
35BB869E,Unknown
35BB869F,Chế độ bảo hiểm
35BB869F,Du Lịch
35BB869F,Chế độ thưởng
35BB869F,Đào tạo
35BB869F,Tăng lương
35BB8687,Unknown
35BB866C,Laptop
35BB866C,Chế độ bảo hiểm
35BB866C,Du Lịch
35BB866C,Phụ cấp
35BB866C,Đồng phục
35BB866C,Chế độ thưởng
35BB866C,Chăm sóc sức khỏe
35BB866C,Tăng lương
35BB866C,Công tác phí
35BB866C,Phụ cấp thâm niên
35BB866C,Nghỉ phép năm
35BB869B,Unknown
35BB865C,Laptop
35BB865C,Chế độ bảo hiểm
35BB865C,Du Lịch
35BB865C,Chế độ thưởng
35BB865C,Chăm sóc sức khỏe
35BB865C,Đào tạo
35BB865C,Tăng lương
35BB865C,Công tác phí
35BB864E,Chế độ bảo hiểm
35BB864E,Du Lịch
35BB864E,Phụ cấp
35BB864E,Đồng phục
35BB864E,Chế độ thưởng
35BB864E,Chăm sóc sức khỏe
35BB864E,Đào tạo
35BB864E,Tăng lương
35BB864E,Công tác phí
35BB864E,Phụ cấp thâm niên
35BB864E,Nghỉ phép năm
35BB854F,Du Lịch
35BB854F,Chế độ thưởng
35BB854F,Chăm sóc sức khỏe
35BB854F,Đào tạo
35BB854F,Tăng lương
35BB854F,Nghỉ phép năm
35BB865A,Laptop
35BB865A,Chế độ bảo hiểm
35BB865A,Du Lịch
35BB865A,Phụ cấp
35BB865A,Chế độ thưởng
35BB865A,Chăm sóc sức khỏe
35BB865A,Đào tạo
35BB865A,Tăng lương
35BB865A,Nghỉ phép năm
35BB8661,Laptop
35BB8661,Chế độ bảo hiểm
35BB8661,Du Lịch
35BB8661,Phụ cấp
35BB8661,Đồng phục
35BB8661,Chế độ thưởng
35BB8661,Chăm sóc sức khỏe
35BB8661,Tăng lương
35BB8661,Công tác phí
35BB8661,Phụ cấp thâm niên
35BB8661,Nghỉ phép năm
35BB865D,Unknown
35BB8662,Laptop
35BB8662,Chế độ bảo hiểm
35BB8662,Du Lịch
35BB8662,Phụ cấp
35BB8662,Du lịch nước ngoài
35BB8662,Chế độ thưởng
35BB8662,Chăm sóc sức khỏe
35BB8662,Đào tạo
35BB8662,Tăng lương
35BB8662,Nghỉ phép năm
35BB868C,Chế độ bảo hiểm
35BB868C,Du Lịch
35BB868C,Chế độ thưởng
35BB868C,Chăm sóc sức khỏe
35BB868C,Đào tạo
35BB868C,Tăng lương
35BB865B,Chế độ bảo hiểm
35BB865B,Du Lịch
35BB865B,Chế độ thưởng
35BB865B,Chăm sóc sức khỏe
35BB865B,Đào tạo
35BB865B,Tăng lương
35BB865F,Laptop
35BB865F,Chế độ bảo hiểm
35BB865F,Du Lịch
35BB865F,Phụ cấp
35BB865F,Chế độ thưởng
35BB865F,Chăm sóc sức khỏe
35BB865F,Đào tạo
35BB865F,Tăng lương
35BB865F,Nghỉ phép năm
35BB8659,Laptop
35BB8659,Chế độ bảo hiểm
35BB8659,Du Lịch
35BB8659,Phụ cấp
35BB8659,Đồng phục
35BB8659,Chế độ thưởng
35BB8659,Chăm sóc sức khỏe
35BB8659,Tăng lương
35BB8659,Công tác phí
35BB8659,Phụ cấp thâm niên
35BB8659,Nghỉ phép năm
35BB8663,Laptop
35BB8663,Chế độ bảo hiểm
35BB8663,Du Lịch
35BB8663,Phụ cấp
35BB8663,Đồng phục
