job_id,nganh_nghe
35BB29B5,Kế toán / Kiểm toán
35BB2937,Tiếp thị / Marketing
35BB2937,Bán lẻ / Bán sỉ
35BB2937,Bán hàng / Kinh doanh
35BB293C,Kế toán / Kiểm toán
35BB293C,Tài chính / Đầu tư
35BB293C,Ngân hàng
35BB291B,Dịch vụ khách hàng
35BB291B,Ngân hàng
35BB291B,Tài chính / Đầu tư
35BB2919,Ngân hàng
35BB2919,Tài chính / Đầu tư
35BB291F,Bán lẻ / Bán sỉ
35BB291F,Bán hàng / Kinh doanh
35BB2A23,Môi trường
35BB291D,Ngân hàng
35BB291D,Tài chính / Đầu tư
35BB2933,CNTT - Phần mềm
35BB290C,Kế toán / Kiểm toán
35BB290C,Tài chính / Đầu tư
35BB290C,Thống kê
35BB2912,Cơ khí / Ô tô / Tự động hóa
35BB2912,Bảo trì / Sửa chữa
35BB2912,Sản xuất / Vận hành sản xuất
35BB29EF,Bán lẻ / Bán sỉ
35BB29EF,Bán hàng / Kinh doanh
35BB29EF,Dịch vụ khách hàng
35BB2911,Quản lý điều hành
35BB2911,Công nghệ sinh học
35BB2911,Quản lý chất lượng (QA/QC)
35BB299C,Bán hàng / Kinh doanh
35BB299C,Dịch vụ khách hàng
35BB299C,Giải trí
35BB29E4,Bán hàng / Kinh doanh
35BB29E4,Dược phẩm
35BB2917,Điện / Điện tử / Điện lạnh
35BB2917,Quản lý chất lượng (QA/QC)
35BB290F,Bán lẻ / Bán sỉ
35BB290F,Bán hàng / Kinh doanh
35BB290F,Quản lý điều hành
35BB2921,Dịch vụ khách hàng
35BB2921,Ngân hàng
35BB2921,Tài chính / Đầu tư
35BB7CD7,Hành chính / Thư ký
35BB7CD7,Kế toán / Kiểm toán
35BB7CD7,Tài chính / Đầu tư
35BB61E0,Bán hàng / Kinh doanh
35BB61E0,Vận chuyển / Giao nhận /  Kho vận
35BB61E0,Xuất nhập khẩu
35BB2908,Tiếp thị / Marketing
35BB2908,Bán lẻ / Bán sỉ
35BB2908,Bán hàng / Kinh doanh
35BB4AEA,Unknown
35BB7D60,Kế toán / Kiểm toán
35BB7D60,Ngân hàng
35BB7D60,Tài chính / Đầu tư
35BB4A25,Nhân sự
35BB4A25,Kế toán / Kiểm toán
35BB4A25,Tài chính / Đầu tư
35BB7E27,Unknown
35BB7DA4,Tiếp thị / Marketing
35BB7DA4,Tiếp thị trực tuyến
35BB7DA4,Quảng cáo / Đối ngoại / Truyền Thông
35BB751F,Tư vấn
35BB751F,Dịch vụ khách hàng
35BB751F,CNTT - Phần mềm
35BB6751,Unknown
35BB7ACA,Bán hàng / Kinh doanh
35BB7ACA,Tư vấn
35BB7ACA,Nhân sự
35BB7D42,Hành chính / Thư ký
35BB7D42,Kế toán / Kiểm toán
35BB7D42,Tài chính / Đầu tư
35BB7553,Unknown
35BB6219,Biên phiên dịch
35BB6219,Môi trường
35BB6219,An toàn lao động
35BB7DB6,Unknown
35BB7CF2,Tiếp thị / Marketing
35BB7CF2,Bán hàng / Kinh doanh
35BB7CF2,Du lịch
35BB5426,Cơ khí / Ô tô / Tự động hóa
35BB5426,Sản xuất / Vận hành sản xuất
35BB5426,Đồ gỗ
35BB7557,Unknown
35BB49D9,Tiếp thị / Marketing
35BB49D9,Bán hàng / Kinh doanh
35BB49D9,Dược phẩm
35BB7E1C,Luật / Pháp lý
35BB7E1C,Hành chính / Thư ký
35BB7E1C,Điện / Điện tử / Điện lạnh
35BB5435,Tiếp thị / Marketing
35BB5435,Quảng cáo / Đối ngoại / Truyền Thông
35BB5435,Tổ chức sự kiện
35BB7C5A,Kế toán / Kiểm toán
35BB7C5A,Ngân hàng
35BB7C5A,Tài chính / Đầu tư
35BB5005,Hành chính / Thư ký
35BB5005,Nhân sự
35BB5005,Bảo trì / Sửa chữa
35BA8750,Điện / Điện tử / Điện lạnh
35BA8750,Sản xuất / Vận hành sản xuất
35BB5473,Tiếp thị / Marketing
35BB5473,Quảng cáo / Đối ngoại / Truyền Thông
35BB5473,Tổ chức sự kiện
35BB544C,Tiếp thị / Marketing
35BB544C,Quảng cáo / Đối ngoại / Truyền Thông
35BB544C,Tổ chức sự kiện
35BB525E,Bán hàng / Kinh doanh
35BB525E,Dịch vụ khách hàng
35BB525E,Tài chính / Đầu tư
35BB53E8,Kế toán / Kiểm toán
35BB53DD,Hành chính / Thư ký
35BB53DD,Nhân sự
35BB535F,Bán lẻ / Bán sỉ
35BB535F,Bán hàng / Kinh doanh
35BB535F,Giáo dục / Đào tạo
35BB543E,Bán lẻ / Bán sỉ
35BB543E,Bán hàng / Kinh doanh
35BB543E,Thực phẩm & Đồ uống
35BB5424,Điện / Điện tử / Điện lạnh
35BB5424,Kiến trúc
35BB5424,Xây dựng
